,state,county,biden_count,trump_count,total_count,dem20_pct,rep20_pct
30,MI,Houghton,7755,10380,18420,42.10097719869707,56.35179153094463
31,MI,Huron,5349,11949,17437,30.676148420026383,68.52669610598153
32,MI,Ingham,94221,47640,143733,65.55279580889565,33.14478929682119
33,MI,Ionia,10899,20655,32044,34.01260766446136,64.45824491324429
34,MI,Iosco,5371,9760,15283,35.14362363410325,63.86180723679906
35,MI,Iron,2493,4216,6763,36.862339198580514,62.339198580511614
36,MI,Isabella,14072,14815,29252,48.106112402570766,50.64610966771503
37,MI,Jackson,32004,47381,80498,39.7575095033417,58.85984744962608
38,MI,Kalamazoo,83674,56823,142561,58.69347156655748,39.85872714136405
39,MI,Kalkaska,3003,7436,10581,28.381060391267365,70.276911445043
40,MI,Kent,186753,165318,357545,52.232026737893136,46.23697716371366
41,MI,Keweenaw,672,862,1551,43.32688588007737,55.57704706640877
42,MI,Lake,2288,3946,6299,36.32322590887442,62.64486426416892
43,MI,Lapeer,16368,35480,52421,31.22412773506801,67.68279887831213
44,MI,Leelanau,8793,7915,16842,52.20876380477378,46.99560622253889
45,MI,Lenawee,20916,31539,53145,39.35647756138865,59.3451876940446
46,MI,Livingston,48218,76980,126709,38.05412401644713,60.75337979149074
47,MI,Luce,842,2109,2978,28.27400940228341,70.81934184016119
48,MI,Mackinac,2632,4304,6992,37.64302059496568,61.556064073226544
49,MI,Macomb,225561,264535,494569,45.60758963865507,53.48798650946581
50,MI,Manistee,6107,8321,14582,41.88040049375943,57.06350294884104
51,MI,Marquette,20465,16288,37264,54.918956633748394,43.70974667239159
52,MI,Mason,6802,10207,17152,39.6571828358209,59.50909514925373
53,MI,Mecosta,7373,13265,20941,35.208442767776134,63.34463492669882
54,MI,Menominee,4314,8120,12559,34.349868620113064,64.65482920614699
55,MI,Midland,20493,27675,48869,41.93455974134932,56.63099306308703
56,MI,Missaukee,1967,6648,8726,22.541829016731608,76.18611047444419
57,MI,Monroe,32975,52710,86771,38.00232796671699,60.74610180820781
58,MI,Montcalm,9703,21815,31946,30.373129656295,68.28710949727666
59,MI,Montmorency,1628,4171,5837,27.891039917765976,71.45794072297413
60,MI,Muskegon,45508,44544,91263,49.86467681316634,48.80838894184938
61,MI,Newaygo,7874,18864,27069,29.08862536480845,69.68857364512911
62,MI,Oakland,433982,325916,767180,56.568471545139346,42.48233791287573
63,MI,Oceana,4944,8892,14002,35.309241536923295,63.505213540922725
64,MI,Ogemaw,3475,8253,11862,29.295228460630586,69.57511380880122
65,MI,Ontonagon,1391,2358,3779,36.808679544853135,62.39745964540884
66,MI,Osceola,3214,8928,12277,26.17903396595259,72.72134886372892
67,MI,Oscoda,1342,3466,4847,27.68722921394677,71.50814937074479
68,MI,Otsego,4743,9779,14699,32.26750119055718,66.52833526090211
69,MI,Ottawa,64705,100913,167933,38.53024718191184,60.0912268583304
70,MI,Presque Isle,2912,5343,8325,34.97897897897898,64.18018018018017
71,MI,Roscommon,5166,9670,14957,34.539011833923915,64.65200240689978
72,MI,Saginaw,51088,50785,102880,49.657853810264385,49.36333592534992
73,MI,St. Clair,31363,59186,91658,34.217416919417836,64.57265050513867
74,MI,St. Joseph,9262,18128,27806,33.309357692584335,65.19456232467813
75,MI,Sanilac,5966,16194,22373,26.666070710231082,72.38188888392258
76,MI,Schoolcraft,1589,3090,4719,33.672388217842766,65.47997457088366
77,MI,Shiawassee,15371,23154,39050,39.36235595390525,59.293213828425095
78,MI,Tuscola,8713,20310,29351,29.68553030561139,69.19696092126333
79,MI,Van Buren,16800,21591,38895,43.19321249517933,55.51099112996529
80,MI,Washtenaw,157130,56241,215327,72.97273449219095,26.118879657451227
81,MI,Wayne,587074,264149,857774,68.44157085665921,30.794708163222477
